,TL,TM,TR,ML,MM,MR,BL,BM,BR,class
0,2,2,2,2,1,1,2,1,1,1
1,2,2,2,2,1,1,1,2,1,1
2,2,2,2,2,1,1,1,1,2,1
3,2,2,2,2,1,1,1,0,0,1
4,2,2,2,2,1,1,0,1,0,1
5,2,2,2,2,1,1,0,0,1,1
6,2,2,2,2,1,0,1,1,0,1
7,2,2,2,2,1,0,1,0,1,1
8,2,2,2,2,1,0,0,1,1,1
9,2,2,2,2,0,1,1,1,0,1
10,2,2,2,2,0,1,1,0,1,1
11,2,2,2,2,0,1,0,1,1,1
12,2,2,2,1,2,1,2,1,1,1
13,2,2,2,1,2,1,1,2,1,1
14,2,2,2,1,2,1,1,1,2,1
15,2,2,2,1,2,1,1,0,0,1
16,2,2,2,1,2,1,0,1,0,1
17,2,2,2,1,2,1,0,0,1,1
18,2,2,2,1,2,0,1,1,0,1
19,2,2,2,1,2,0,1,0,1,1
20,2,2,2,1,2,0,0,1,1,1
21,2,2,2,1,1,2,2,1,1,1
22,2,2,2,1,1,2,1,2,1,1
23,2,2,2,1,1,2,1,1,2,1
24,2,2,2,1,1,2,1,0,0,1
25,2,2,2,1,1,2,0,1,0,1
26,2,2,2,1,1,2,0,0,1,1
27,2,2,2,1,1,0,2,1,0,1
28,2,2,2,1,1,0,2,0,1,1
29,2,2,2,1,1,0,1,2,0,1
30,2,2,2,1,1,0,1,0,2,1
31,2,2,2,1,1,0,0,2,1,1
32,2,2,2,1,1,0,0,1,2,1
33,2,2,2,1,1,0,0,0,0,1
34,2,2,2,1,0,2,1,1,0,1
35,2,2,2,1,0,2,1,0,1,1
36,2,2,2,1,0,2,0,1,1,1
37,2,2,2,1,0,1,2,1,0,1
38,2,2,2,1,0,1,2,0,1,1
39,2,2,2,1,0,1,1,2,0,1
40,2,2,2,1,0,1,1,0,2,1
41,2,2,2,1,0,1,0,2,1,1
42,2,2,2,1,0,1,0,1,2,1
43,2,2,2,1,0,1,0,0,0,1
44,2,2,2,1,0,0,2,1,1,1
45,2,2,2,1,0,0,1,2,1,1
46,2,2,2,1,0,0,1,1,2,1
47,2,2,2,1,0,0,1,0,0,1
48,2,2,2,1,0,0,0,1,0,1
49,2,2,2,1,0,0,0,0,1,1
50,2,2,2,0,2,1,1,1,0,1
51,2,2,2,0,2,1,1,0,1,1
52,2,2,2,0,2,1,0,1,1,1
53,2,2,2,0,1,2,1,1,0,1
54,2,2,2,0,1,2,1,0,1,1
55,2,2,2,0,1,2,0,1,1,1
56,2,2,2,0,1,1,2,1,0,1
57,2,2,2,0,1,1,2,0,1,1
58,2,2,2,0,1,1,1,2,0,1
59,2,2,2,0,1,1,1,0,2,1
60,2,2,2,0,1,1,0,2,1,1
61,2,2,2,0,1,1,0,1,2,1
62,2,2,2,0,1,1,0,0,0,1
63,2,2,2,0,1,0,2,1,1,1
64,2,2,2,0,1,0,1,2,1,1
65,2,2,2,0,1,0,1,1,2,1
66,2,2,2,0,1,0,1,0,0,1
67,2,2,2,0,1,0,0,1,0,1
68,2,2,2,0,1,0,0,0,1,1
69,2,2,2,0,0,1,2,1,1,1
70,2,2,2,0,0,1,1,2,1,1
71,2,2,2,0,0,1,1,1,2,1
72,2,2,2,0,0,1,1,0,0,1
73,2,2,2,0,0,1,0,1,0,1
74,2,2,2,0,0,1,0,0,1,1
75,2,2,2,0,0,0,1,1,0,1
76,2,2,2,0,0,0,1,0,1,1
77,2,2,2,0,0,0,0,1,1,1
78,2,2,1,2,2,1,1,1,2,1
79,2,2,1,2,1,2,2,1,1,1
80,2,2,1,2,1,1,2,1,2,1
81,2,2,1,2,1,1,2,0,0,1
82,2,2,1,2,1,0,2,1,0,1
83,2,2,1,2,1,0,2,0,1,1
84,2,2,1,2,0,1,2,1,0,1
85,2,2,1,2,0,0,2,1,1,1
86,2,2,1,1,2,2,1,2,1,1
87,2,2,1,1,2,2,1,1,2,1
88,2,2,1,1,2,1,2,1,2,1
89,2,2,1,1,2,1,1,2,2,1
90,2,2,1,1,2,1,0,2,0,1
91,2,2,1,1,2,1,0,0,2,1
92,2,2,1,1,2,0,1,2,0,1
93,2,2,1,1,2,0,1,0,2,1
94,2,2,1,1,2,0,0,2,1,1
95,2,2,1,1,2,0,0,1,2,1
96,2,2,1,0,2,1,1,2,0,1
97,2,2,1,0,2,1,1,0,2,1
98,2,2,1,0,2,1,0,1,2,1
99,2,2,1,0,2,0,1,2,1,1
100,2,2,1,0,2,0,1,1,2,1
101,2,2,0,2,1,1,2,1,0,1
102,2,2,0,2,1,1,2,0,1,1
103,2,2,0,2,1,0,2,1,1,1
104,2,2,0,2,0,1,2,1,1,1
105,2,2,0,1,2,1,1,2,0,1
106,2,2,0,1,2,1,1,0,2,1
107,2,2,0,1,2,1,0,2,1,1
108,2,2,0,1,2,1,0,1,2,1
109,2,2,0,1,2,0,1,2,1,1
110,2,2,0,1,2,0,1,1,2,1
111,2,2,0,0,2,1,1,2,1,1
112,2,2,0,0,2,1,1,1,2,1
113,2,1,2,2,2,1,2,1,1,1
114,2,1,2,2,2,1,1,1,2,1
115,2,1,2,2,1,1,2,2,1,1
116,2,1,2,2,1,1,2,0,0,1
117,2,1,2,2,1,0,2,0,1,1
118,2,1,2,2,0,1,2,1,0,1
119,2,1,2,2,0,1,2,0,1,1
120,2,1,2,2,0,0,2,1,1,1
121,2,1,2,1,2,2,2,1,1,1
122,2,1,2,1,2,2,1,1,2,1
123,2,1,2,1,2,1,2,2,1,1
124,2,1,2,1,2,1,2,1,2,1
125,2,1,2,1,2,1,2,0,0,1
126,2,1,2,1,2,1,1,2,2,1
127,2,1,2,1,2,1,0,0,2,1
128,2,1,2,1,2,0,2,1,0,1
129,2,1,2,1,2,0,2,0,1,1
130,2,1,2,1,2,0,1,0,2,1
131,2,1,2,1,2,0,0,1,2,1
132,2,1,2,1,1,2,1,2,2,1
133,2,1,2,1,1,2,0,0,2,1
134,2,1,2,1,0,2,1,0,2,1
135,2,1,2,1,0,2,0,1,2,1
136,2,1,2,0,2,1,2,1,0,1
137,2,1,2,0,2,1,2,0,1,1
138,2,1,2,0,2,1,1,0,2,1
139,2,1,2,0,2,1,0,1,2,1
140,2,1,2,0,2,0,2,1,1,1
141,2,1,2,0,2,0,1,1,2,1
142,2,1,2,0,1,2,1,0,2,1
143,2,1,2,0,0,2,1,1,2,1
144,2,1,1,2,2,2,2,1,1,1
145,2,1,1,2,2,2,1,2,1,1
146,2,1,1,2,2,2,1,1,2,1
147,2,1,1,2,2,2,1,0,0,1
148,2,1,1,2,2,2,0,1,0,1
149,2,1,1,2,2,2,0,0,1,1
150,2,1,1,2,2,1,2,1,2,1
151,2,1,1,2,2,1,2,0,0,1
152,2,1,1,2,2,1,1,2,2,1
153,2,1,1,2,2,1,0,0,2,1
154,2,1,1,2,2,0,2,1,0,1
155,2,1,1,2,2,0,2,0,1,1
156,2,1,1,2,2,0,1,0,2,1
157,2,1,1,2,2,0,0,1,2,1
158,2,1,1,2,1,2,2,2,1,1
159,2,1,1,2,1,2,2,0,0,1
160,2,1,1,2,1,1,2,2,2,1
161,2,1,1,2,1,0,2,2,0,1
162,2,1,1,2,1,0,2,0,2,1
163,2,1,1,2,0,2,2,1,0,1
164,2,1,1,2,0,2,2,0,1,1
165,2,1,1,2,0,1,2,2,0,1
166,2,1,1,2,0,1,2,0,2,1
167,2,1,1,2,0,0,2,2,1,1
168,2,1,1,2,0,0,2,1,2,1
169,2,1,1,2,0,0,2,0,0,1
170,2,1,1,1,2,2,2,1,2,1
171,2,1,1,1,2,2,1,2,2,1
172,2,1,1,1,2,2,0,0,2,1
173,2,1,1,1,2,1,2,2,2,1
174,2,1,1,1,2,0,2,0,2,1
175,2,1,1,1,2,0,0,2,2,1
176,2,1,1,1,1,2,2,2,2,1
177,2,1,1,1,0,0,2,2,2,1
178,2,1,1,0,2,2,1,0,2,1
179,2,1,1,0,2,2,0,1,2,1
180,2,1,1,0,2,1,2,0,2,1
181,2,1,1,0,2,1,0,2,2,1
182,2,1,1,0,2,0,2,1,2,1
183,2,1,1,0,2,0,1,2,2,1
184,2,1,1,0,2,0,0,0,2,1
185,2,1,1,0,1,0,2,2,2,1
186,2,1,1,0,0,1,2,2,2,1
187,2,1,0,2,2,2,1,1,0,1
188,2,1,0,2,2,2,1,0,1,1
189,2,1,0,2,2,2,0,1,1,1
190,2,1,0,2,2,1,2,1,0,1
191,2,1,0,2,2,1,2,0,1,1
192,2,1,0,2,2,1,1,0,2,1
193,2,1,0,2,2,1,0,1,2,1
194,2,1,0,2,2,0,2,1,1,1
195,2,1,0,2,2,0,1,1,2,1
196,2,1,0,2,1,2,2,0,1,1
197,2,1,0,2,1,1,2,2,0,1
198,2,1,0,2,1,1,2,0,2,1
199,2,1,0,2,1,0,2,2,1,1
200,2,1,0,2,1,0,2,0,0,1
201,2,1,0,2,0,2,2,1,1,1
202,2,1,0,2,0,1,2,2,1,1
203,2,1,0,2,0,1,2,1,2,1
204,2,1,0,2,0,1,2,0,0,1
205,2,1,0,2,0,0,2,1,0,1
206,2,1,0,2,0,0,2,0,1,1
207,2,1,0,1,2,2,1,0,2,1
208,2,1,0,1,2,2,0,1,2,1
209,2,1,0,1,2,1,2,0,2,1
210,2,1,0,1,2,1,0,2,2,1
211,2,1,0,1,2,0,2,1,2,1
212,2,1,0,1,2,0,1,2,2,1
213,2,1,0,1,2,0,0,0,2,1
214,2,1,0,1,1,0,2,2,2,1
215,2,1,0,1,0,1,2,2,2,1
216,2,1,0,0,2,2,1,1,2,1
217,2,1,0,0,2,1,2,1,2,1
218,2,1,0,0,2,1,1,2,2,1
219,2,1,0,0,2,1,0,0,2,1
220,2,1,0,0,2,0,1,0,2,1
221,2,1,0,0,2,0,0,1,2,1
222,2,1,0,0,1,1,2,2,2,1
223,2,0,2,2,1,1,2,1,0,1
224,2,0,2,2,1,1,2,0,1,1
225,2,0,2,2,1,0,2,1,1,1
226,2,0,2,2,0,1,2,1,1,1
227,2,0,2,1,2,1,2,1,0,1
228,2,0,2,1,2,1,2,0,1,1
229,2,0,2,1,2,1,1,0,2,1
230,2,0,2,1,2,1,0,1,2,1
231,2,0,2,1,2,0,2,1,1,1
232,2,0,2,1,2,0,1,1,2,1
233,2,0,2,1,1,2,1,0,2,1
234,2,0,2,1,1,2,0,1,2,1
235,2,0,2,1,0,2,1,1,2,1
236,2,0,2,0,2,1,2,1,1,1
237,2,0,2,0,2,1,1,1,2,1
238,2,0,2,0,1,2,1,1,2,1
239,2,0,1,2,2,2,1,1,0,1
240,2,0,1,2,2,2,1,0,1,1
241,2,0,1,2,2,2,0,1,1,1
242,2,0,1,2,2,1,2,1,0,1
243,2,0,1,2,2,1,1,0,2,1
244,2,0,1,2,2,1,0,1,2,1
245,2,0,1,2,2,0,2,1,1,1
246,2,0,1,2,2,0,1,1,2,1
247,2,0,1,2,1,2,2,1,0,1
248,2,0,1,2,1,2,2,0,1,1
249,2,0,1,2,1,1,2,2,0,1
250,2,0,1,2,1,1,2,0,2,1
251,2,0,1,2,1,0,2,2,1,1
252,2,0,1,2,1,0,2,1,2,1
253,2,0,1,2,1,0,2,0,0,1
254,2,0,1,2,0,2,2,1,1,1
255,2,0,1,2,0,1,2,1,2,1
256,2,0,1,2,0,1,2,0,0,1
257,2,0,1,2,0,0,2,1,0,1
258,2,0,1,2,0,0,2,0,1,1
259,2,0,1,1,2,2,1,0,2,1
260,2,0,1,1,2,2,0,1,2,1
261,2,0,1,1,2,1,2,0,2,1
262,2,0,1,1,2,1,0,2,2,1
263,2,0,1,1,2,0,2,1,2,1
264,2,0,1,1,2,0,1,2,2,1
265,2,0,1,1,2,0,0,0,2,1
266,2,0,1,1,1,0,2,2,2,1
267,2,0,1,1,0,1,2,2,2,1
268,2,0,1,0,2,2,1,1,2,1
269,2,0,1,0,2,1,2,1,2,1
270,2,0,1,0,2,1,1,2,2,1
271,2,0,1,0,2,1,0,0,2,1
272,2,0,1,0,2,0,1,0,2,1
273,2,0,1,0,2,0,0,1,2,1
274,2,0,1,0,1,1,2,2,2,1
275,2,0,0,2,2,1,2,1,1,1
276,2,0,0,2,2,1,1,1,2,1
277,2,0,0,2,1,2,2,1,1,1
278,2,0,0,2,1,1,2,2,1,1
279,2,0,0,2,1,1,2,1,2,1
280,2,0,0,2,1,1,2,0,0,1
281,2,0,0,2,1,0,2,1,0,1
282,2,0,0,2,1,0,2,0,1,1
283,2,0,0,2,0,1,2,1,0,1
284,2,0,0,2,0,1,2,0,1,1
285,2,0,0,2,0,0,2,1,1,1
286,2,0,0,1,2,2,1,1,2,1
287,2,0,0,1,2,1,2,1,2,1
288,2,0,0,1,2,1,1,2,2,1
289,2,0,0,1,2,1,0,0,2,1
290,2,0,0,1,2,0,1,0,2,1
291,2,0,0,1,2,0,0,1,2,1
292,2,0,0,0,2,1,1,0,2,1
293,2,0,0,0,2,1,0,1,2,1
294,2,0,0,0,2,0,1,1,2,1
295,1,2,2,2,2,1,2,1,1,1
296,1,2,2,2,2,1,1,2,1,1
297,1,2,2,2,1,2,1,1,2,1
298,1,2,2,1,2,2,2,1,1,1
299,1,2,2,1,2,1,2,2,1,1
300,1,2,2,1,2,1,2,1,2,1
301,1,2,2,1,2,1,2,0,0,1
302,1,2,2,1,2,1,0,2,0,1
303,1,2,2,1,2,0,2,1,0,1
304,1,2,2,1,2,0,2,0,1,1
305,1,2,2,1,2,0,0,2,1,1
306,1,2,2,1,1,2,2,1,2,1
307,1,2,2,1,1,2,0,0,2,1
308,1,2,2,1,0,2,0,1,2,1
309,1,2,2,0,2,1,2,1,0,1
310,1,2,2,0,2,1,2,0,1,1
311,1,2,2,0,2,1,1,2,0,1
312,1,2,2,0,2,1,0,2,1,1
313,1,2,2,0,2,0,2,1,1,1
314,1,2,2,0,2,0,1,2,1,1
315,1,2,2,0,1,2,1,0,2,1
316,1,2,2,0,1,2,0,1,2,1
317,1,2,2,0,0,2,1,1,2,1
318,1,2,1,2,2,2,2,1,1,1
319,1,2,1,2,2,2,1,2,1,1
320,1,2,1,2,2,2,1,1,2,1
321,1,2,1,2,2,2,1,0,0,1
322,1,2,1,2,2,2,0,1,0,1
323,1,2,1,2,2,2,0,0,1,1
324,1,2,1,2,2,1,1,2,2,1
325,1,2,1,2,2,1,0,2,0,1
326,1,2,1,2,2,0,1,2,0,1
327,1,2,1,2,2,0,0,2,1,1
328,1,2,1,2,1,1,2,2,2,1
329,1,2,1,1,2,2,2,2,1,1
330,1,2,1,1,2,2,0,2,0,1
331,1,2,1,1,2,1,2,2,2,1
332,1,2,1,1,2,0,2,2,0,1
333,1,2,1,1,2,0,0,2,2,1
334,1,2,1,1,1,2,2,2,2,1
335,1,2,1,1,0,0,2,2,2,1
336,1,2,1,0,2,2,1,2,0,1
337,1,2,1,0,2,2,0,2,1,1
338,1,2,1,0,2,1,2,2,0,1
339,1,2,1,0,2,1,0,2,2,1
340,1,2,1,0,2,0,2,2,1,1
341,1,2,1,0,2,0,1,2,2,1
342,1,2,1,0,2,0,0,2,0,1
343,1,2,1,0,1,0,2,2,2,1
344,1,2,1,0,0,1,2,2,2,1
345,1,2,0,2,2,2,1,1,0,1
346,1,2,0,2,2,2,1,0,1,1
347,1,2,0,2,2,2,0,1,1,1
348,1,2,0,2,2,1,1,2,0,1
349,1,2,0,2,2,1,0,2,1,1
350,1,2,0,2,2,0,1,2,1,1
351,1,2,0,1,2,2,0,2,1,1
352,1,2,0,1,2,1,2,2,0,1
353,1,2,0,1,2,1,0,2,2,1
354,1,2,0,1,2,0,2,2,1,1
355,1,2,0,1,2,0,0,2,0,1
356,1,2,0,1,1,0,2,2,2,1
357,1,2,0,1,0,1,2,2,2,1
358,1,2,0,0,2,2,1,2,1,1
359,1,2,0,0,2,1,2,2,1,1
360,1,2,0,0,2,1,1,2,2,1
361,1,2,0,0,2,1,0,2,0,1
362,1,2,0,0,2,0,1,2,0,1
363,1,2,0,0,2,0,0,2,1,1
364,1,2,0,0,1,1,2,2,2,1
365,1,1,2,2,2,2,2,1,1,1
366,1,1,2,2,2,2,1,2,1,1
367,1,1,2,2,2,2,1,1,2,1
368,1,1,2,2,2,2,1,0,0,1
369,1,1,2,2,2,2,0,1,0,1
370,1,1,2,2,2,2,0,0,1,1
371,1,1,2,2,2,1,2,2,1,1
372,1,1,2,2,2,1,2,1,2,1
373,1,1,2,2,2,1,2,0,0,1
374,1,1,2,2,2,0,2,1,0,1
375,1,1,2,2,2,0,2,0,1,1
376,1,1,2,2,1,2,1,2,2,1
377,1,1,2,2,1,2,0,0,2,1
378,1,1,2,2,1,1,2,2,2,1
379,1,1,2,2,0,2,1,0,2,1
380,1,1,2,2,0,2,0,1,2,1
381,1,1,2,1,2,2,2,2,1,1
382,1,1,2,1,2,2,2,1,2,1
383,1,1,2,1,2,2,2,0,0,1
384,1,1,2,1,2,2,0,0,2,1
385,1,1,2,1,2,1,2,2,2,1
386,1,1,2,1,2,0,2,2,0,1
387,1,1,2,1,2,0,2,0,2,1
388,1,1,2,1,1,2,2,2,2,1
389,1,1,2,1,0,2,2,0,2,1
390,1,1,2,1,0,2,0,2,2,1
391,1,1,2,1,0,0,2,2,2,1
392,1,1,2,0,2,2,2,1,0,1
393,1,1,2,0,2,2,2,0,1,1
394,1,1,2,0,2,2,1,0,2,1
395,1,1,2,0,2,2,0,1,2,1
396,1,1,2,0,2,1,2,2,0,1
397,1,1,2,0,2,1,2,0,2,1
398,1,1,2,0,2,0,2,2,1,1
399,1,1,2,0,2,0,2,1,2,1
400,1,1,2,0,2,0,2,0,0,1
401,1,1,2,0,1,2,2,0,2,1
402,1,1,2,0,1,2,0,2,2,1
403,1,1,2,0,1,0,2,2,2,1
404,1,1,2,0,0,2,2,1,2,1
405,1,1,2,0,0,2,1,2,2,1
406,1,1,2,0,0,2,0,0,2,1
407,1,1,2,0,0,1,2,2,2,1
408,1,1,0,2,2,2,2,1,0,1
409,1,1,0,2,2,2,2,0,1,1
410,1,1,0,2,2,2,1,2,0,1
411,1,1,0,2,2,2,1,0,2,1
412,1,1,0,2,2,2,0,2,1,1
413,1,1,0,2,2,2,0,1,2,1
414,1,1,0,2,2,2,0,0,0,1
415,1,1,0,2,1,0,2,2,2,1
416,1,1,0,2,0,1,2,2,2,1
417,1,1,0,1,2,0,2,2,2,1
418,1,1,0,1,0,2,2,2,2,1
419,1,1,0,0,2,1,2,2,2,1
420,1,1,0,0,1,2,2,2,2,1
421,1,1,0,0,0,0,2,2,2,1
422,1,0,2,2,2,2,1,1,0,1
423,1,0,2,2,2,2,1,0,1,1
424,1,0,2,2,2,2,0,1,1,1
425,1,0,2,2,2,1,2,1,0,1
426,1,0,2,2,2,1,2,0,1,1
427,1,0,2,2,2,0,2,1,1,1
428,1,0,2,2,1,2,1,0,2,1
429,1,0,2,2,1,2,0,1,2,1
430,1,0,2,2,0,2,1,1,2,1
431,1,0,2,1,2,2,2,1,0,1
432,1,0,2,1,2,2,2,0,1,1
433,1,0,2,1,2,2,0,1,2,1
434,1,0,2,1,2,1,2,2,0,1
435,1,0,2,1,2,1,2,0,2,1
436,1,0,2,1,2,0,2,2,1,1
437,1,0,2,1,2,0,2,1,2,1
438,1,0,2,1,2,0,2,0,0,1
439,1,0,2,1,1,2,2,0,2,1
440,1,0,2,1,1,2,0,2,2,1
441,1,0,2,1,1,0,2,2,2,1
442,1,0,2,1,0,2,2,1,2,1
443,1,0,2,1,0,2,0,0,2,1
444,1,0,2,1,0,1,2,2,2,1
445,1,0,2,0,2,2,2,1,1,1
446,1,0,2,0,2,2,1,1,2,1
447,1,0,2,0,2,1,2,2,1,1
448,1,0,2,0,2,1,2,1,2,1
449,1,0,2,0,2,1,2,0,0,1
450,1,0,2,0,2,0,2,1,0,1
451,1,0,2,0,2,0,2,0,1,1
452,1,0,2,0,1,2,2,1,2,1
453,1,0,2,0,1,2,1,2,2,1
454,1,0,2,0,1,2,0,0,2,1
455,1,0,2,0,1,1,2,2,2,1
456,1,0,2,0,0,2,1,0,2,1
457,1,0,2,0,0,2,0,1,2,1
458,1,0,1,2,2,2,2,1,0,1
459,1,0,1,2,2,2,2,0,1,1
460,1,0,1,2,2,2,1,2,0,1
461,1,0,1,2,2,2,1,0,2,1
462,1,0,1,2,2,2,0,2,1,1
463,1,0,1,2,2,2,0,1,2,1
464,1,0,1,2,2,2,0,0,0,1
465,1,0,1,2,1,0,2,2,2,1
466,1,0,1,2,0,1,2,2,2,1
467,1,0,1,1,2,0,2,2,2,1
468,1,0,1,1,0,2,2,2,2,1
469,1,0,1,0,2,1,2,2,2,1
470,1,0,1,0,1,2,2,2,2,1
471,1,0,1,0,0,0,2,2,2,1
472,1,0,0,2,2,2,2,1,1,1
473,1,0,0,2,2,2,1,2,1,1
474,1,0,0,2,2,2,1,1,2,1
475,1,0,0,2,2,2,1,0,0,1
476,1,0,0,2,2,2,0,1,0,1
477,1,0,0,2,2,2,0,0,1,1
478,1,0,0,2,1,1,2,2,2,1
479,1,0,0,1,2,1,2,2,2,1
